, URL, Name, isSecure, Sport,
,irondequoityouthlacrosse.com,Irondequoit Lacrosse,false,Lacrosse,
,irondequoityouthlacrosse.org,Irondequoit Lacrosse,false,Lacrosse,
,irvingtonlax.com,Irvington Youth Lacrosse,false,Lacrosse,
,iscorecentral.com,error opening web page,
,iscoreleagues.com,error opening web page,
,iscoresports.com,error opening web page,
,isulacrosse.com,ISU Men's Lacrosse Club,false,Lacrosse,
,isylboston.com,Irish Sports Youth League,false,,
,ithacalacrosseclub.org,Ithaca Lacrosse Club,false,Lacrosse,
,iyaahoops.com,IYAA Basketball,false,Basketball,
,jamestownlakers.com,Chautauqua County Youth Hockey Association,false,Hockey,
,jbfootball.net,Joel Barlow High School Football,false,Football,
,jeffcoleague.com,Jeffco Sports Cooperative,false,Baseball,
,jeffcoleague.org,Jeffco Sports Cooperative,false,Baseball,
,jeffcosoftball.com,Girls Softball League of Jefferson County,false,Softball,
,jeffersonsoftball.com,Jefferson Softball,false,Softball,
,jetslax.com,Jets Lacrosse,false,Lacrosse,
,jetslax.org,Jets Lacrosse,false,Lacrosse,
,jokerslax.com,Jokers Lacrosse,false,Lacrosse,
,jrbobcatshockey.com,Elite Hockey Program,false,Hockey,
,jrnorsemenlacrosse.com,error opening web page,
,jrraidersfootball.com,Hillsborough JR Raiders,false,,
,kbuchanan.aupairnews.com,error opening web page,
,kcmgla.com,Kansas City Metro Girls Lacrosse Association,false,Lacrosse,
,kentislandlax.com,Kent Island Youth Lacrosse,false,Lacrosse,
,kingsmenlacrosse.com,Penn Kingsmen Lacrosse,false,Lacrosse,
,kjbathletics.org,KJB ATHLETICS,false,,
,knbaseball.com,error opening web page,
,knotholebaseball.com,Knothole Baseball,false,Baseball,
,knotholebaseballeast.com,Cincinnati Knothole Baseball - East,false,Baseball,
,knotholebaseballnorth.com,Cincinnati Knothole Baseball - North Region,false,Baseball,
,knotholebaseballsouth.com,Cincinnati Knothole Baseball - South,false,Baseball,
,knotholebaseballwest.com,Cincinnati Knothole Baseball - West,false,Baseball,
,knotholecentral.com,Knothole Central Region,false,,
,knowledgemart.org,error opening web page,
,kplacrosse.org,King Philip Youth Lacrosse,false,Lacrosse,
,kwlax.org,Kingwood Lacrosse Club,false,Lacrosse,
,laceylax.com,Lacey Pride Lacrosse Club,false,Lacrosse,
,laconiachiefs.com,Laconia Chiefs Football Spirit,false,Football,
,ladycolonialslacrosse.com,Morristown Lady Colonials,false,,
,ladycolonialslacrosse.org,Morristown Lady Colonials,false,,
,lakevilletrack.com,Lakeville Track and Field Association,false,,
,lakotatomahawks.org,error opening web page,
,lancasterfootballcheer.com,Lancaster NY Youth Football & Cheer,false,Football,
,lancasterlittleleague.com,Lancaster Youth Baseball and Softball,false,Softball,
,langleylaxons.net,error opening web page,
,laxergirlteams.com,LAXERGIRL TEAMS,false,,
,laxrats.com,Team Lax Rats,false,,
,laxskills.com,error opening web page,
,laybl.net,Lou Athanas Youth Basketball League,false,Basketball,
,leagues.iscoresports.com,error opening web page,
,leesburggirlssoftball.net,Leesburg Girls Softball League,false,Softball,
,leominsteryouthsoccer.com,Leominster Youth Soccer Association,false,Soccer,
,leonardtownlax.com,error opening web page,
,letchworthsoccerclub.com,Letchworth Soccer Club,false,Soccer,
,lewisborobaseball.org,error opening web page,
,lexhoops.com,Lexington Youth Basketball Association,false,Basketball,
,lexhoops.org,Lexington Youth Basketball Association,false,Basketball,
,lglls.org,Loudoun Girls Little League Softball,false,Softball,
,lhslancershockey.com,Longmeadow High School Hockey,false,Hockey,
,libengalslax.com,LI Bengals Lacrosse,false,Lacrosse,
,lijawz.com,Long Island Jawz Spring Elite Hockey Club,false,Hockey,
,lionswrestling.org,Lions Wrestling,false,,
,listadedomenii.blogspot.com,error opening web page,
,litchfieldhillslacrosse.com,Litchfield Hills Youth Lacrosse,false,Lacrosse,
,litchfieldlacrosse.com,Litchfield Hills Youth Lacrosse,false,Lacrosse,
,littletonbromfieldhockey.org,Littleton Bromfield Middle School Hockey Association,false,Hockey,
,littletonhoops.org,Littleton Youth Basketball,false,Basketball,
,littletonyouthhockey.org,Nashoba Youth Hockey Association,false,Hockey,
,llgsl.org,Lower Loudoun Girls Softball League,false,Softball,
,lmbaseball.com,Little Miami Youth Baseball,false,Baseball,
,lmybaseball.com,Little Miami Youth Baseball,false,Baseball,
,longvalleytravelsoccer.org,Long Valley United Travel Soccer,false,Soccer,
,loudounsouthbaseball.com,Loudoun South Baseball,false,Baseball,
,loudounstars.org,Loudoun Stars,false,,
,louisvillebaseballassociation.org,error opening web page,
,lovelandlacrosse.com,Loveland Lacrosse,false,Lacrosse,
,lowerloudounsoftball.com,Lower Loudoun Girls Softball League,false,Softball,
,lowerloudounsoftball.org,Lower Loudoun Girls Softball League,false,Softball,
,ludlowhockey.org,Ludlow Hockey Association,false,Hockey,
,lumbertonlittleleague.com,Lumberton Little League,false,Baseball,
,lvnativeslc.com,Lehigh Valley Natives Lacrosse Club,false,Lacrosse,
,lvusc.org,error opening web page,
,lybs.us,Lancaster Youth Baseball and Softball,false,Softball,
,lynchburgselect.com,Lynchburg Select Lacrosse,false,Lacrosse,
,lynchburgselectlacrosse.com,error opening web page,
,lynxlax.com,CT Lynx Elite Lacrosse Program,false,Lacrosse,
